jam,jumlah_perjalanan,rata_jarak,rata_durasi,rata_tarif,median_tarif
0,82289,4.04,13.57,28.86,21.6
1,57766,3.53,12.63,26.45,21.2
2,40445,3.28,12.07,25.06,20.52
3,26146,3.58,12.15,26.26,21.0
4,16618,4.79,13.52,31.72,22.7
5,16940,6.03,14.7,36.75,22.04
6,42300,4.8,14.49,30.63,18.48
7,84569,3.69,14.42,26.89,18.48
8,114064,3.08,14.33,25.21,19.1
9,127988,3.09,14.23,25.51,19.25
10,140230,3.13,14.25,25.53,18.9
11,150539,3.0,14.28,25.16,18.9
12,165714,3.11,14.4,25.61,18.9
13,174183,3.29,15.06,26.43,19.22
14,186741,3.57,16.39,28.04,19.57
15,191392,3.41,16.42,27.42,19.32
16,190689,3.51,16.52,29.58,21.4
17,204399,3.3,15.98,28.62,21.48
18,210858,2.94,14.24,26.69,21.0
19,188347,3.25,13.64,27.43,21.0
20,161789,3.44,13.24,26.98,20.41
21,157770,3.61,13.3,27.59,20.52
22,143800,3.85,13.75,28.61,21.36
23,111335,4.23,13.97,29.98,22.0
