jam,jumlah_perjalanan,rata_jarak,rata_durasi,rata_tarif,median_tarif
0,85987,4.45,14.82,31.05,22.2
1,59980,4.04,13.52,28.64,21.36
2,40812,3.79,12.82,27.08,21.1
3,26000,4.02,12.83,27.92,21.3
4,16637,5.6,14.62,34.92,24.1
5,16913,6.67,15.65,39.74,23.9
6,38422,5.11,14.51,32.13,19.25
7,69358,4.1,14.57,28.6,18.8
8,103647,3.53,15.3,27.34,19.32
9,118788,3.4,15.68,27.28,19.9
10,130529,3.35,15.96,27.3,19.9
11,143780,3.32,16.53,27.53,20.12
12,157384,3.31,16.92,27.65,20.15
13,161822,3.46,17.21,28.25,20.15
14,169475,3.65,17.94,29.15,20.2
15,172601,3.69,18.44,29.45,20.3
16,173983,3.7,18.6,31.48,22.5
17,186220,3.41,17.36,30.01,22.32
18,195988,3.22,15.63,28.46,21.5
19,175235,3.34,14.78,28.33,21.45
20,151925,3.68,14.78,28.62,20.9
21,156152,3.75,14.94,28.77,21.35
22,146257,3.98,15.43,29.76,22.0
23,119762,4.48,15.93,31.77,22.65
